employment_type,age,credit_score,monthly_income,loan_amount,previous_defaults,account_age,loan_enquiries,housing_type,total_expenditure,other_fixed_expenses,gross_revenue,expected_margin,business_rent,utilities_salaries,business_age,gst_registered,business_type,loan_purpose,credit_utilization,payment_history_length,savings_ratio,employment_stability,income_volatility,disposable_income_ratio,dti_ratio,loan_to_income,foir,dscr,expense_to_revenue,rental_burden,defaulted
self_employed,46,811,5825,76907,0,0.7,2,owned,3059,641,51552,11.3,9255,12971,6.2,1,trading,gold,0.044,1,0.371,6.2,0.6,0.3648,0.5252,1.1002,0.6352,9.0889,0.4311,0.1795,0
salaried,45,681,247496,3225844,0,2.4,1,owned,118298,14067,0,0.0,0,0,0.0,0,none,personal,0.473,32,0.469,1.8,0.171,0.4652,0.478,1.0862,0.5348,9.2067,0.0,0.0,0
self_employed,37,576,20034,130766,1,10.1,5,owned,13966,3559,135365,14.8,8281,18871,12.1,1,trading,gold,0.763,124,0.177,12.1,0.56,0.1252,0.6971,0.5439,0.8748,18.3846,0.2006,0.0612,0
salaried,38,565,83377,1580455,0,0.7,0,owned,41368,12225,0,0.0,0,0,0.0,0,none,education,0.546,11,0.461,0.1,0.243,0.3572,0.4962,1.5796,0.6428,6.3306,0.0,0.0,1
salaried,24,595,47655,678058,1,4.0,0,owned,23920,9958,0,0.0,0,0,0.0,0,none,vehicle,0.399,35,0.362,1.0,0.4,0.2891,0.5019,1.1857,0.7109,8.4338,0.0,0.0,1
salaried,43,662,94350,1571479,1,0.9,0,owned,60657,8189,0,0.0,0,0,0.0,0,none,business,0.751,8,0.313,0.2,0.4,0.2703,0.6429,1.388,0.7297,7.2047,0.0,0.0,1
self_employed,38,606,17937,187538,1,1.3,1,owned,8828,3019,73814,24.3,10870,15241,5.1,1,manufacturing,vehicle,0.338,24,0.207,5.1,0.6,0.3395,0.4922,0.8713,0.6605,11.4774,0.3537,0.1473,0
self_employed,39,682,30783,356438,0,5.9,3,owned,17638,3422,168212,18.3,17134,42368,1.5,1,service,business,0.606,75,0.278,1.5,0.6,0.3159,0.573,0.9649,0.6841,10.3635,0.3537,0.1019,0
self_employed,25,616,25133,258181,0,5.0,5,owned,9367,3416,99735,25.2,8961,31079,3.0,0,service,personal,0.724,61,0.471,3.0,0.235,0.4914,0.3727,0.856,0.5086,11.6816,0.4015,0.0898,0
self_employed,33,771,19723,283595,0,2.8,0,rent,6781,2378,134169,14.7,12333,39072,0.7,0,trading,personal,0.311,27,0.594,0.7,0.13,0.5356,0.3438,1.1982,0.4644,8.3456,0.3831,0.0919,0
self_employed,34,624,10751,207817,0,5.9,2,rent,3766,1790,50476,21.3,6558,6136,9.9,0,service,education,0.383,66,0.516,9.9,0.498,0.4832,0.3503,1.6108,0.5168,6.208,0.2515,0.1299,0
salaried,21,660,25903,764522,0,1.0,2,rent,18038,2888,0,0.0,0,0,0.0,0,none,home,0.734,4,0.152,1.0,0.117,0.1921,0.6964,2.4596,0.8079,4.0658,0.0,0.0505,1
salaried,38,745,25693,318548,0,7.1,3,owned,15073,2974,0,0.0,0,0,0.0,0,none,home,0.688,74,0.312,1.4,0.05,0.2976,0.5867,1.0332,0.7024,9.6788,0.0,0.0,0
salaried,52,592,38016,829819,0,9.1,1,owned,18145,6623,0,0.0,0,0,0.0,0,none,home,0.61,118,0.438,7.8,0.4,0.3485,0.4773,1.819,0.6515,5.4975,0.0,0.0,0
self_employed,37,668,32306,882026,0,7.2,2,owned,16226,2663,132400,24.4,26164,20653,2.9,0,service,home,0.479,83,0.368,2.9,0.6,0.4153,0.5023,2.2752,0.5847,4.3952,0.3536,0.1976,0
self_employed,37,674,10639,151110,0,2.5,1,owned,6644,1271,54842,19.4,3574,18242,4.9,1,service,personal,0.685,23,0.328,4.9,0.487,0.256,0.6245,1.1836,0.744,8.4487,0.3978,0.0652,0
salaried,37,690,51640,706021,0,17.0,0,owned,31707,9719,0,0.0,0,0,0.0,0,none,home,0.454,192,0.192,2.5,0.032,0.1978,0.614,1.1393,0.8022,8.7771,0.0,0.0,0
self_employed,39,573,18100,258224,0,4.1,6,owned,6154,1828,50000,36.2,6912,6051,6.8,1,service,home,0.87,51,0.583,6.8,0.462,0.559,0.34,1.1889,0.441,8.4113,0.2593,0.1382,0
self_employed,32,477,6500,107912,0,2.6,1,owned,3499,547,50000,13.0,8329,11477,0.5,1,trading,gold,0.555,32,0.407,0.5,0.358,0.3775,0.5383,1.3835,0.6225,7.2281,0.3961,0.1666,0
salaried,40,614,54542,423990,0,0.5,2,owned,33252,8284,0,0.0,0,0,0.0,0,none,vehicle,0.604,1,0.237,1.2,0.339,0.2385,0.6097,0.6478,0.7615,15.4368,0.0,0.0,0
self_employed,38,586,18100,219658,3,4.3,2,owned,8332,2721,50000,36.2,2901,13355,5.6,0,service,home,0.709,45,0.377,5.6,0.522,0.3893,0.4603,1.0113,0.6107,9.8881,0.3251,0.058,1
self_employed,32,610,12971,76022,0,12.0,3,owned,7441,2532,109926,11.8,9124,18413,6.1,1,trading,education,0.645,147,0.213,6.1,0.507,0.2311,0.5737,0.4884,0.7689,20.4746,0.2505,0.083,0
salaried,29,819,45651,507346,0,5.0,1,rent,26550,6513,0,0.0,0,0,0.0,0,none,personal,0.264,60,0.272,3.0,0.059,0.2757,0.5816,0.9261,0.7243,10.7976,0.0,0.0129,0
salaried,26,772,97634,2017180,0,2.3,0,rent,51095,4989,0,0.0,0,0,0.0,0,none,home,0.438,34,0.418,6.0,0.063,0.4256,0.5233,1.7217,0.5744,5.8081,0.0,0.0863,0
self_employed,47,802,8918,118337,1,8.6,0,owned,5571,765,68073,13.1,9635,9115,10.4,0,manufacturing,vehicle,0.281,106,0.291,10.4,0.337,0.2895,0.6247,1.1058,0.7105,9.0433,0.2754,0.1415,0
salaried,40,695,92330,1243259,0,1.6,0,rent,63016,18025,0,0.0,0,0,0.0,0,none,home,0.705,12,0.077,4.6,0.158,0.1223,0.6825,1.1221,0.8777,8.9117,0.0,0.1144,1
self_employed,23,699,4987,50000,0,1.9,2,owned,1810,280,60811,8.2,11249,15828,0.5,1,trading,business,0.6,25,0.575,0.5,0.6,0.5809,0.3629,0.8355,0.4191,11.9688,0.4453,0.185,0
salaried,37,543,38441,619968,0,2.9,2,rent,22834,7539,0,0.0,0,0,0.0,0,none,personal,0.936,40,0.151,4.4,0.283,0.2099,0.594,1.344,0.7901,7.4406,0.0,0.0919,1
salaried,28,611,22700,374167,1,3.2,2,owned,12776,1425,0,0.0,0,0,0.0,0,none,gold,0.787,39,0.342,7.3,0.299,0.3744,0.5628,1.3736,0.6256,7.2802,0.0,0.0,0
self_employed,28,662,194578,1058106,4,8.0,0,owned,107495,17808,737039,26.4,114719,243346,7.0,1,service,business,0.39,92,0.378,7.0,0.259,0.356,0.5525,0.4532,0.644,22.0671,0.4858,0.1556,1
salaried,34,705,39820,437221,0,0.5,3,rent,24030,4429,0,0.0,0,0,0.0,0,none,education,0.121,13,0.293,2.1,0.2,0.2853,0.6035,0.915,0.7147,10.929,0.0,0.0356,0
salaried,26,710,283154,3866885,1,4.5,0,rent,166833,48016,0,0.0,0,0,0.0,0,none,personal,0.573,65,0.239,0.4,0.291,0.2412,0.5892,1.138,0.7588,8.787,0.0,0.0919,0
self_employed,43,625,143009,3180188,0,2.0,2,owned,56445,22983,605972,23.6,65708,112403,0.5,1,service,home,0.608,25,0.391,0.5,0.218,0.4446,0.3947,1.8531,0.5554,5.3962,0.2939,0.1084,0
self_employed,49,724,7250,123130,0,6.3,0,rent,4064,1381,50000,14.5,7344,15291,0.5,0,trading,vehicle,0.397,78,0.243,0.5,0.6,0.249,0.5606,1.4153,0.751,7.0657,0.4527,0.1469,0
self_employed,45,661,15886,152509,0,0.9,0,owned,10324,2606,63290,25.1,10793,8773,2.6,1,manufacturing,personal,0.41,17,0.099,2.6,0.271,0.1861,0.6499,0.8,0.8139,12.4997,0.3091,0.1705,0
salaried,44,572,68641,1918880,0,7.3,0,rent,31585,6885,0,0.0,0,0,0.0,0,none,business,0.792,86,0.477,0.4,0.332,0.4395,0.4601,2.3296,0.5605,4.2926,0.0,0.1364,0
self_employed,43,829,14305,141898,0,4.4,0,owned,6990,857,155490,9.2,14133,22400,0.7,0,trading,home,0.159,54,0.41,0.7,0.475,0.4515,0.4886,0.8266,0.5485,12.0974,0.235,0.0909,0
self_employed,24,788,57025,437309,0,0.5,0,owned,18499,10785,261582,21.8,33989,43985,3.1,1,service,personal,0.381,5,0.47,3.1,0.553,0.4865,0.3244,0.6391,0.5135,15.648,0.2981,0.1299,0
salaried,32,679,44150,345010,1,1.6,0,rent,23165,10341,0,0.0,0,0,0.0,0,none,business,0.325,9,0.284,0.5,0.216,0.2411,0.5247,0.6512,0.7589,15.3561,0.0,0.1397,1
self_employed,50,626,22998,169585,0,1.2,0,owned,13112,2491,64784,35.5,8176,14396,0.5,1,service,home,0.462,3,0.289,0.5,0.482,0.3215,0.5701,0.6145,0.6785,16.2736,0.3484,0.1262,0
salaried,34,626,179521,1447919,0,0.5,0,rent,104231,11513,0,0.0,0,0,0.0,0,none,personal,0.401,1,0.352,5.1,0.4,0.3553,0.5806,0.6721,0.6447,14.8783,0.0,0.0538,0
self_employed,47,743,18339,369242,1,0.5,3,rent,6032,2532,73949,24.8,6807,9608,4.7,0,manufacturing,vehicle,0.763,11,0.469,4.7,0.301,0.533,0.3289,1.6779,0.467,5.96,0.222,0.092,0
salaried,40,680,30292,271092,0,17.6,0,rent,15794,5869,0,0.0,0,0,0.0,0,none,home,0.762,220,0.301,1.6,0.036,0.2849,0.5214,0.7458,0.7151,13.4089,0.0,0.0124,0
self_employed,30,817,10917,287709,0,3.6,1,owned,6116,689,75291,14.5,11674,16151,3.0,1,trading,personal,0.179,37,0.386,3.0,0.449,0.3767,0.5602,2.1962,0.6233,4.5534,0.3696,0.1551,0
self_employed,32,725,20723,507219,0,2.4,1,owned,13492,3584,105193,19.7,7075,26818,0.8,1,service,vehicle,0.662,37,0.207,0.8,0.6,0.176,0.6511,2.0397,0.824,4.9027,0.3222,0.0673,0
salaried,30,812,28824,396000,0,3.1,2,rent,16617,2400,0,0.0,0,0,0.0,0,none,business,0.252,43,0.421,10.0,0.091,0.3402,0.5765,1.1449,0.6598,8.7345,0.0,0.0743,0
salaried,50,752,187152,3434753,0,4.5,3,rent,97451,9833,0,0.0,0,0,0.0,0,none,business,0.365,50,0.443,1.2,0.396,0.4268,0.5207,1.5294,0.5732,6.5385,0.0,0.0734,0
salaried,21,692,54135,842885,0,1.0,1,rent,27811,4841,0,0.0,0,0,0.0,0,none,home,0.708,7,0.355,1.0,0.325,0.3968,0.5137,1.2975,0.6032,7.7071,0.0,0.0302,0
salaried,37,691,118167,1279244,2,3.7,0,rent,85722,19207,0,0.0,0,0,0.0,0,none,home,0.643,42,0.091,5.1,0.102,0.112,0.7254,0.9021,0.888,11.0847,0.0,0.0424,0
salaried,31,776,15000,168545,0,5.0,0,owned,7320,1082,0,0.0,0,0,0.0,0,none,education,0.52,59,0.477,6.0,0.373,0.4399,0.488,0.9364,0.5601,10.6796,0.0,0.0,0
salaried,34,657,68509,701341,4,1.8,0,rent,34946,10467,0,0.0,0,0,0.0,0,none,vehicle,0.212,23,0.439,4.9,0.15,0.3371,0.5101,0.8531,0.6629,11.7219,0.0,0.1176,1
self_employed,25,595,57154,1576238,0,0.5,2,rent,24244,11017,201246,28.4,26294,44339,2.6,0,service,business,0.619,1,0.397,2.6,0.295,0.3831,0.4242,2.2982,0.6169,4.3512,0.351,0.1307,0
salaried,38,660,23752,127953,1,3.3,0,rent,15106,1908,0,0.0,0,0,0.0,0,none,vehicle,0.834,37,0.277,0.9,0.175,0.2837,0.636,0.4489,0.7163,22.2757,0.0,0.1314,0
salaried,46,778,35422,626529,1,1.3,1,rent,20948,4628,0,0.0,0,0,0.0,0,none,gold,0.23,5,0.278,1.5,0.189,0.278,0.5914,1.474,0.722,6.7844,0.0,0.0882,0
self_employed,34,556,10919,64732,0,0.8,1,rent,4251,1890,53261,20.5,9183,6237,4.7,1,service,home,0.482,7,0.386,4.7,0.471,0.4376,0.3893,0.494,0.5624,20.2416,0.2895,0.1724,0
salaried,35,663,42163,314740,0,5.8,0,owned,19029,4986,0,0.0,0,0,0.0,0,none,personal,0.667,75,0.454,0.3,0.17,0.4304,0.4513,0.6221,0.5696,16.0754,0.0,0.0,0
salaried,36,624,84923,537476,1,4.5,0,rent,58126,15464,0,0.0,0,0,0.0,0,none,home,0.415,60,0.078,1.8,0.182,0.1335,0.6845,0.5274,0.8665,18.9604,0.0,0.0721,1
self_employed,36,586,36814,887750,0,4.6,0,owned,20910,2747,108916,33.8,16275,16141,0.9,1,service,gold,0.704,58,0.262,0.9,0.325,0.3574,0.568,2.0095,0.6426,4.9763,0.2976,0.1494,1
salaried,50,815,28648,330586,0,15.6,0,rent,15369,5645,0,0.0,0,0,0.0,0,none,vehicle,0.116,182,0.242,4.0,0.4,0.2665,0.5365,0.9616,0.7335,10.399,0.0,0.0569,0
self_employed,21,660,21869,313159,0,1.0,0,owned,9102,4026,126413,17.3,22492,36393,4.0,1,manufacturing,vehicle,0.479,11,0.416,4.0,0.424,0.3997,0.4162,1.1933,0.6003,8.38,0.4658,0.1779,0
self_employed,29,768,30745,470667,1,4.1,5,owned,15090,4946,148525,20.7,8596,45934,2.7,0,service,personal,0.43,49,0.252,2.7,0.6,0.3483,0.4908,1.2757,0.6517,7.8387,0.3671,0.0579,1
self_employed,28,787,5050,91314,0,1.3,1,rent,2633,388,50000,10.1,3938,8421,6.8,1,trading,business,0.315,20,0.405,6.8,0.322,0.4018,0.5214,1.5068,0.5982,6.6364,0.2472,0.0788,1
salaried,38,584,30294,1124407,0,3.2,1,owned,14596,2229,0,0.0,0,0,0.0,0,none,gold,0.394,38,0.457,0.2,0.161,0.4446,0.4818,3.093,0.5554,3.2331,0.0,0.0,0
self_employed,43,676,8950,386803,0,0.6,1,rent,3189,1286,50000,17.9,7390,8755,8.0,1,manufacturing,home,0.569,10,0.523,8.0,0.254,0.5,0.3563,3.6015,0.5,2.7766,0.3229,0.1478,0
salaried,26,753,64743,796481,0,0.5,0,rent,37588,11868,0,0.0,0,0,0.0,0,none,business,0.36,9,0.264,0.4,0.034,0.2361,0.5806,1.0252,0.7639,9.7544,0.0,0.1097,1
self_employed,31,610,13257,67772,0,2.2,1,owned,6739,2118,116291,11.4,7453,15573,2.1,1,trading,home,0.252,28,0.297,2.1,0.328,0.3319,0.5083,0.426,0.6681,23.4734,0.198,0.0641,0
salaried,41,600,15000,310348,0,5.2,2,rent,6578,2331,0,0.0,0,0,0.0,0,none,home,0.554,71,0.39,1.2,0.293,0.4061,0.4385,1.7242,0.5939,5.7999,0.0,0.0199,0
salaried,35,814,15779,167798,0,0.5,6,rent,11044,2512,0,0.0,0,0,0.0,0,none,vehicle,0.577,8,0.249,2.3,0.093,0.1409,0.6999,0.8862,0.8591,11.2843,0.0,0.1183,1
salaried,40,759,36696,347858,0,1.4,0,rent,15412,2592,0,0.0,0,0,0.0,0,none,vehicle,0.353,14,0.538,2.6,0.2,0.5094,0.42,0.79,0.4906,12.659,0.0,0.0239,0
salaried,26,603,57075,535693,0,1.6,1,rent,28875,13579,0,0.0,0,0,0.0,0,none,vehicle,0.794,20,0.251,1.3,0.4,0.2562,0.5059,0.7821,0.7438,12.7853,0.0,0.071,0
salaried,41,628,24910,328293,0,4.2,2,owned,15133,5022,0,0.0,0,0,0.0,0,none,home,0.605,40,0.151,0.1,0.138,0.1909,0.6075,1.0983,0.8091,9.1053,0.0,0.0,0
salaried,30,701,34439,565629,0,0.5,2,rent,20989,2779,0,0.0,0,0,0.0,0,none,home,0.665,14,0.383,5.7,0.237,0.3099,0.6095,1.3687,0.6901,7.3063,0.0,0.0271,0
salaried,21,611,28208,645719,0,1.0,4,rent,12026,2730,0,0.0,0,0,0.0,0,none,gold,0.221,15,0.377,1.0,0.15,0.4769,0.4263,1.9076,0.5231,5.2422,0.0,0.0251,0
self_employed,37,573,111401,2247706,0,1.5,0,owned,44902,5593,349221,31.9,25610,84606,0.5,1,service,personal,0.911,18,0.543,0.5,0.6,0.5467,0.4031,1.6814,0.4533,5.9475,0.3156,0.0733,1
self_employed,41,756,14324,172282,3,1.5,6,owned,7269,1692,56842,25.2,4097,13972,0.5,1,service,personal,0.786,24,0.416,0.5,0.395,0.3744,0.5075,1.0023,0.6256,9.9771,0.3179,0.0721,1
self_employed,47,710,13197,187833,3,0.5,0,owned,7390,1102,145018,9.1,8915,28595,1.0,1,trading,business,0.529,2,0.405,1.0,0.535,0.3565,0.56,1.1861,0.6435,8.4311,0.2587,0.0615,1
salaried,33,650,53720,930657,2,0.5,2,owned,26869,9379,0,0.0,0,0,0.0,0,none,personal,0.266,11,0.336,5.7,0.15,0.3252,0.5002,1.4437,0.6748,6.9267,0.0,0.0,0
salaried,32,642,35741,225002,0,2.1,0,rent,17671,6537,0,0.0,0,0,0.0,0,none,education,0.655,33,0.36,0.2,0.212,0.3227,0.4944,0.5246,0.6773,19.0617,0.0,0.0137,0
salaried,32,580,57129,1524193,2,7.4,3,rent,33044,3916,0,0.0,0,0,0.0,0,none,home,0.758,87,0.433,4.0,0.054,0.353,0.5784,2.2233,0.647,4.4978,0.0,0.0832,1
salaried,50,640,41582,174786,1,1.9,0,owned,22697,7314,0,0.0,0,0,0.0,0,none,home,0.326,20,0.242,0.2,0.256,0.2783,0.5458,0.3503,0.7217,28.5483,0.0,0.0,1
salaried,47,664,40724,806832,0,11.2,3,rent,24426,2246,0,0.0,0,0,0.0,0,none,home,0.531,131,0.262,7.0,0.374,0.3451,0.5998,1.651,0.6549,6.0569,0.0,0.1441,0
salaried,36,717,77758,1310879,0,0.6,0,rent,38259,7985,0,0.0,0,0,0.0,0,none,home,0.501,6,0.404,0.5,0.134,0.4053,0.492,1.4049,0.5947,7.1181,0.0,0.0833,0
salaried,32,781,21502,334057,0,3.2,1,rent,14873,2620,0,0.0,0,0,0.0,0,none,home,0.463,35,0.161,0.8,0.305,0.1864,0.6917,1.2947,0.8136,7.724,0.0,0.0678,0
salaried,23,737,80703,829723,0,3.0,0,rent,35844,5194,0,0.0,0,0,0.0,0,none,home,0.217,33,0.498,3.0,0.314,0.4915,0.4441,0.8568,0.5085,11.6718,0.0,0.138,0
salaried,30,685,68330,1336884,0,9.3,0,rent,35320,15995,0,0.0,0,0,0.0,0,none,business,0.488,113,0.232,10.0,0.21,0.249,0.5169,1.6304,0.751,6.1334,0.0,0.1435,0
salaried,24,806,21938,563371,0,4.0,2,owned,10342,1939,0,0.0,0,0,0.0,0,none,business,0.042,44,0.445,0.1,0.067,0.4402,0.4714,2.14,0.5598,4.6729,0.0,0.0,0
self_employed,32,756,6245,102041,0,3.1,3,owned,3772,430,63078,9.9,7007,16760,1.1,0,trading,gold,0.221,37,0.326,1.1,0.496,0.3271,0.604,1.3616,0.6729,7.3441,0.3768,0.1111,1
self_employed,37,648,12313,89806,0,0.5,0,owned,8376,814,62823,19.6,8448,10409,6.1,0,manufacturing,home,0.622,9,0.345,6.1,0.22,0.2536,0.6803,0.6078,0.7464,16.4528,0.3002,0.1345,0
self_employed,34,836,36899,523289,0,3.0,0,owned,12525,2920,133692,27.6,24947,38757,3.2,1,manufacturing,personal,0.493,36,0.6,3.2,0.6,0.5814,0.3394,1.1818,0.4186,8.4616,0.4765,0.1866,0
salaried,27,832,20923,145446,0,4.9,2,rent,15735,5124,0,0.0,0,0,0.0,0,none,gold,0.093,53,0.0,1.2,0.261,0.0031,0.752,0.5793,0.9969,17.2625,0.0,0.0141,0
salaried,42,750,44427,356215,1,5.2,2,rent,30374,8966,0,0.0,0,0,0.0,0,none,home,0.242,63,0.135,6.3,0.313,0.1145,0.6837,0.6682,0.8855,14.9664,0.0,0.1055,0
self_employed,28,835,17863,222303,1,2.5,7,rent,5419,1668,73511,24.3,6848,20243,3.4,1,service,gold,0.339,27,0.591,3.4,0.419,0.6033,0.3034,1.0371,0.3967,9.6425,0.3685,0.0932,0
salaried,37,799,70619,1379617,2,0.5,2,owned,34792,11187,0,0.0,0,0,0.0,0,none,business,0.136,1,0.386,0.7,0.396,0.3489,0.4927,1.628,0.6511,6.1425,0.0,0.0,0
salaried,38,639,88295,953739,0,2.5,0,rent,31657,10490,0,0.0,0,0,0.0,0,none,education,0.514,34,0.495,1.1,0.169,0.5227,0.3585,0.9001,0.4773,11.1093,0.0,0.0166,0
self_employed,44,591,47496,575188,1,3.2,1,owned,18259,9458,123366,38.5,12873,14169,0.5,1,service,education,0.824,35,0.442,0.5,0.475,0.4164,0.3844,1.0092,0.5836,9.909,0.2192,0.1043,0
salaried,31,711,77475,938173,1,0.7,2,owned,53622,6742,0,0.0,0,0,0.0,0,none,personal,0.192,10,0.276,4.4,0.029,0.2209,0.6921,1.0091,0.7791,9.9097,0.0,0.0,0
self_employed,33,702,33952,560142,1,2.1,0,rent,20393,2086,89112,38.1,10922,25325,2.0,1,service,education,0.328,25,0.24,2.0,0.267,0.3379,0.6006,1.3748,0.6621,7.2736,0.4068,0.1226,0
salaried,38,580,127476,2029626,0,2.5,0,rent,58709,26967,0,0.0,0,0,0.0,0,none,vehicle,0.796,31,0.297,6.9,0.4,0.3279,0.4605,1.3268,0.6721,7.5369,0.0,0.1283,1
salaried,30,731,53267,703219,3,0.5,0,rent,28267,10513,0,0.0,0,0,0.0,0,none,vehicle,0.564,1,0.37,5.2,0.083,0.272,0.5307,1.1001,0.728,9.0897,0.0,0.0944,0
salaried,28,698,67133,312276,0,4.1,0,rent,42547,13090,0,0.0,0,0,0.0,0,none,business,0.54,59,0.129,1.0,0.211,0.1712,0.6338,0.3876,0.8288,25.7976,0.0,0.0291,0
self_employed,30,580,52169,599895,0,9.0,2,owned,34645,6557,210357,24.8,36000,54263,7.1,1,manufacturing,vehicle,0.766,114,0.211,7.1,0.438,0.2102,0.6641,0.9583,0.7898,10.4356,0.4291,0.1711,1
salaried,32,768,99719,458359,1,1.7,0,rent,70128,11658,0,0.0,0,0,0.0,0,none,gold,0.087,14,0.169,1.5,0.226,0.1798,0.7033,0.383,0.8202,26.1068,0.0,0.0194,0
self_employed,28,802,12464,270400,0,4.2,1,owned,5189,2228,88400,14.1,15570,21172,1.0,0,trading,business,0.205,55,0.356,1.0,0.261,0.4049,0.4163,1.8079,0.5951,5.5314,0.4156,0.1761,0
self_employed,21,687,18962,818289,0,1.0,3,rent,9787,1631,104763,18.1,18406,25882,0.7,1,manufacturing,vehicle,0.7,5,0.358,0.7,0.6,0.3978,0.5161,3.5962,0.6022,2.7807,0.4227,0.1757,0
salaried,42,653,161863,1385954,0,1.3,1,rent,100327,13657,0,0.0,0,0,0.0,0,none,home,0.534,18,0.303,2.4,0.123,0.2958,0.6198,0.7135,0.7042,14.0146,0.0,0.0927,0
salaried,26,666,113694,1635561,0,2.6,1,owned,80726,13029,0,0.0,0,0,0.0,0,none,personal,0.55,27,0.16,0.6,0.346,0.1754,0.71,1.1988,0.8246,8.3417,0.0,0.0,1
salaried,29,701,70440,606389,0,1.2,2,owned,34169,13113,0,0.0,0,0,0.0,0,none,gold,0.733,9,0.325,1.0,0.075,0.3288,0.4851,0.7174,0.6712,13.9396,0.0,0.0,0
salaried,38,723,15000,126605,0,2.4,1,owned,8069,3580,0,0.0,0,0,0.0,0,none,vehicle,0.68,17,0.28,5.5,0.344,0.2234,0.5379,0.7034,0.7766,14.2174,0.0,0.0,0
self_employed,35,591,51357,930430,0,6.9,0,rent,32190,7780,203797,25.2,21189,55592,1.0,0,service,personal,0.66,77,0.204,1.0,0.263,0.2217,0.6268,1.5097,0.7783,6.6236,0.3768,0.104,0
salaried,35,638,33168,553387,0,1.7,3,rent,21247,5406,0,0.0,0,0,0.0,0,none,home,0.26,11,0.096,9.0,0.166,0.1964,0.6406,1.3904,0.8036,7.1924,0.0,0.0793,0
self_employed,27,602,90768,491267,0,1.1,0,owned,31644,16313,252133,36.0,45744,76674,1.3,0,service,vehicle,0.253,4,0.481,1.3,0.516,0.4717,0.3486,0.451,0.5283,22.1716,0.4855,0.1814,0
self_employed,24,733,12050,258771,0,3.9,2,rent,6427,685,50000,24.1,8384,14896,4.6,1,service,vehicle,0.376,46,0.387,4.6,0.342,0.4098,0.5334,1.7896,0.5902,5.588,0.4656,0.1677,0
self_employed,31,521,15852,312583,0,4.2,0,owned,6804,1411,121937,13.0,15207,31662,0.5,1,trading,business,0.853,51,0.42,0.5,0.304,0.4818,0.4292,1.6432,0.5182,6.0856,0.3844,0.1247,0
salaried,37,726,51711,1226489,4,8.1,3,owned,29246,10264,0,0.0,0,0,0.0,0,none,education,0.554,90,0.295,7.3,0.238,0.2359,0.5656,1.9765,0.7641,5.0594,0.0,0.0,0
salaried,43,728,48306,1217493,0,0.6,2,owned,28079,4275,0,0.0,0,0,0.0,0,none,gold,0.54,8,0.283,0.6,0.118,0.3302,0.5813,2.1003,0.6698,4.7612,0.0,0.0,1
self_employed,34,559,9634,145385,3,4.2,2,rent,4516,539,66441,14.5,9484,13778,11.8,1,manufacturing,gold,0.676,52,0.462,11.8,0.134,0.4753,0.4688,1.2576,0.5247,7.9519,0.3501,0.1427,1
self_employed,37,660,27715,527655,1,1.9,2,rent,10711,3145,137888,20.1,10553,48104,2.2,1,manufacturing,personal,0.135,24,0.482,2.2,0.405,0.5001,0.3865,1.5866,0.4999,6.303,0.4254,0.0765,0
salaried,31,585,52289,638779,0,4.8,2,rent,22431,5654,0,0.0,0,0,0.0,0,none,vehicle,0.732,56,0.53,1.0,0.08,0.4629,0.429,1.018,0.5371,9.8229,0.0,0.1434,0
salaried,40,569,75012,731641,2,3.0,0,rent,47719,12962,0,0.0,0,0,0.0,0,none,home,0.83,37,0.153,1.0,0.121,0.191,0.6362,0.8128,0.809,12.3031,0.0,0.1092,1
salaried,37,784,162628,3436540,0,14.6,0,rent,98826,10651,0,0.0,0,0,0.0,0,none,vehicle,0.249,169,0.373,1.9,0.4,0.3268,0.6077,1.7609,0.6732,5.6788,0.0,0.011,0
self_employed,44,624,9053,59968,3,4.3,3,rent,5897,730,54210,16.7,8186,9366,3.2,1,manufacturing,business,0.499,49,0.299,3.2,0.6,0.268,0.6514,0.552,0.732,18.1157,0.3238,0.151,1
salaried,29,675,26749,291789,1,3.0,9,rent,12353,1484,0,0.0,0,0,0.0,0,none,business,0.488,40,0.486,4.8,0.228,0.4827,0.4618,0.909,0.5173,11.0007,0.0,0.0417,0
self_employed,48,745,15138,90705,0,1.6,1,rent,9769,1625,57340,26.4,2951,6389,1.8,1,manufacturing,vehicle,0.359,14,0.253,1.8,0.5,0.2473,0.6453,0.4993,0.7527,20.0271,0.1629,0.0515,0
salaried,44,637,45836,1850026,0,3.6,0,owned,21683,9446,0,0.0,0,0,0.0,0,none,vehicle,0.579,36,0.346,0.1,0.095,0.3209,0.4731,3.3635,0.6791,2.9731,0.0,0.0,0
self_employed,46,703,8272,71435,0,0.5,0,rent,4712,1531,62668,13.2,4430,6974,5.4,1,manufacturing,business,0.789,1,0.218,5.4,0.343,0.2453,0.5696,0.7196,0.7547,13.8957,0.182,0.0707,0
salaried,29,681,31292,611372,0,1.9,9,owned,14491,3590,0,0.0,0,0,0.0,0,none,business,0.593,16,0.29,9.0,0.133,0.4222,0.4631,1.6281,0.5778,6.142,0.0,0.0,0
self_employed,37,625,15004,137085,0,4.1,0,owned,10245,2431,125032,12.0,20145,35053,11.7,1,trading,business,0.411,48,0.16,11.7,0.231,0.1552,0.6828,0.7614,0.8448,13.134,0.4415,0.1611,0
salaried,28,718,81176,1636754,0,8.0,0,owned,41249,8833,0,0.0,0,0,0.0,0,none,education,0.53,94,0.392,0.1,0.328,0.383,0.5081,1.6803,0.617,5.9515,0.0,0.0,1
