person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
51,72800,MORTGAGE,0.0,PERSONAL,A,5700,7.66,0,0.08,N,28
31,159200,MORTGAGE,1.0,DEBTCONSOLIDATION,D,16000,15.65,1,0.1,Y,6
26,42500,RENT,2.0,EDUCATION,C,3500,12.61,0,0.08,Y,4
28,39600,RENT,6.0,VENTURE,B,4500,10.25,0,0.11,N,10
25,70000,MORTGAGE,4.0,PERSONAL,C,15000,13.16,1,0.21,Y,3
35,133000,MORTGAGE,3.0,HOMEIMPROVEMENT,D,15000,16.77,0,0.11,N,7
40,32400,RENT,1.0,DEBTCONSOLIDATION,B,10000,10.0,1,0.31,N,14
33,75000,MORTGAGE,6.0,PERSONAL,A,12000,5.42,0,0.16,N,10
31,60000,MORTGAGE,15.0,DEBTCONSOLIDATION,A,10000,9.63,0,0.17,N,8
22,48000,RENT,6.0,VENTURE,B,15000,9.63,1,0.31,N,4
23,78000,RENT,7.0,DEBTCONSOLIDATION,A,10000,5.79,0,0.13,N,3
21,32000,RENT,6.0,MEDICAL,D,12000,15.31,1,0.38,Y,2
22,91000,RENT,2.0,PERSONAL,B,8000,11.86,0,0.09,N,3
28,65000,OWN,1.0,MEDICAL,C,2500,13.22,0,0.04,Y,7
28,60000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,20000,7.9,0,0.33,N,7
28,87000,RENT,7.0,VENTURE,B,6400,10.39,0,0.07,N,6
27,90000,MORTGAGE,4.0,PERSONAL,A,15000,7.49,0,0.17,N,6
23,16000,OWN,7.0,MEDICAL,A,6000,7.9,1,0.38,N,2
24,80000,MORTGAGE,7.0,VENTURE,A,12000,6.62,0,0.15,N,2
30,112000,MORTGAGE,4.0,PERSONAL,D,8000,16.02,0,0.07,Y,10
29,27996,OWN,5.0,HOMEIMPROVEMENT,A,1800,5.42,0,0.06,N,6
28,50000,OWN,3.0,EDUCATION,A,3200,8.49,0,0.06,N,5
22,29280,MORTGAGE,0.0,EDUCATION,C,12000,11.66,1,0.41,Y,3
23,103000,MORTGAGE,0.0,DEBTCONSOLIDATION,D,16750,15.31,1,0.16,N,2
27,22896,OWN,1.0,MEDICAL,B,5000,11.48,0,0.22,N,8
29,40000,MORTGAGE,13.0,PERSONAL,A,6400,7.51,0,0.16,N,6
27,43080,RENT,7.0,PERSONAL,C,10000,13.98,0,0.23,N,9
22,60000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,18000,12.99,0,0.3,N,2
21,27000,RENT,1.0,EDUCATION,A,4800,7.51,0,0.18,N,2
21,14400,RENT,0.0,DEBTCONSOLIDATION,A,2000,5.79,0,0.14,N,2
48,60000,MORTGAGE,8.0,MEDICAL,B,8000,10.37,0,0.13,N,17
24,50000,MORTGAGE,3.0,VENTURE,A,15000,8.9,0,0.3,N,2
27,116899,MORTGAGE,12.0,DEBTCONSOLIDATION,B,12000,10.75,1,0.1,N,7
25,35000,RENT,1.0,MEDICAL,B,1500,10.0,0,0.04,N,4
21,63996,RENT,6.0,VENTURE,C,12000,13.79,0,0.19,N,4
23,85000,MORTGAGE,3.0,EDUCATION,A,4000,6.76,0,0.05,N,4
31,62500,OWN,0.0,VENTURE,C,3000,13.92,0,0.05,Y,5
27,44000,RENT,5.0,HOMEIMPROVEMENT,E,5000,16.35,1,0.11,Y,6
26,105000,MORTGAGE,9.0,VENTURE,B,12000,10.99,0,0.11,N,2
24,34000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,10000,12.18,0,0.29,N,4
25,130000,RENT,7.0,HOMEIMPROVEMENT,A,10000,7.49,0,0.08,N,2
24,25000,RENT,6.0,PERSONAL,A,2000,6.62,0,0.08,N,4
23,52800,RENT,6.0,MEDICAL,B,3000,10.99,0,0.06,N,4
22,18000,OWN,1.0,EDUCATION,D,5400,15.31,1,0.3,Y,4
30,23000,RENT,1.0,MEDICAL,B,950,10.99,0,0.04,N,6
39,47471,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5000,7.51,0,0.11,N,14
29,173000,MORTGAGE,7.0,DEBTCONSOLIDATION,D,28000,17.49,1,0.16,Y,10
25,95000,RENT,8.0,PERSONAL,B,8000,10.99,0,0.08,N,3
24,33900,RENT,3.0,EDUCATION,D,5500,17.58,0,0.16,N,2
23,60000,RENT,1.0,PERSONAL,A,5600,7.29,0,0.09,N,2
34,30000,RENT,5.0,VENTURE,A,4200,5.79,0,0.14,N,5
73,75000,RENT,0.0,MEDICAL,A,7800,7.49,0,0.1,N,24
36,84996,MORTGAGE,11.0,PERSONAL,B,3500,12.69,0,0.04,N,16
30,62000,RENT,1.0,MEDICAL,C,7000,14.27,0,0.11,Y,5
29,30000,RENT,3.0,VENTURE,A,5000,9.32,0,0.17,N,5
23,55000,MORTGAGE,8.0,EDUCATION,B,12375,9.91,0,0.23,N,3
34,125000,MORTGAGE,0.0,MEDICAL,B,9175,10.99,0,0.07,N,5
22,32240,RENT,3.0,PERSONAL,C,15000,13.22,1,0.47,N,3
27,58650,MORTGAGE,11.0,MEDICAL,A,4000,5.42,1,0.06,N,6
31,51500,RENT,6.0,HOMEIMPROVEMENT,D,19000,14.83,1,0.37,N,10
23,93000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,2000,7.9,0,0.02,N,4
22,40906,RENT,4.0,VENTURE,B,7500,9.63,0,0.18,N,2
29,48712,MORTGAGE,13.0,VENTURE,A,11050,5.42,0,0.23,N,6
24,26400,RENT,5.0,MEDICAL,A,5000,7.9,0,0.19,N,4
47,69000,MORTGAGE,19.0,VENTURE,A,20000,6.54,0,0.29,N,12
21,21600,MORTGAGE,2.0,DEBTCONSOLIDATION,A,3800,5.99,0,0.18,N,2
32,80000,RENT,6.0,DEBTCONSOLIDATION,B,9600,11.14,0,0.12,N,5
28,56000,MORTGAGE,5.0,MEDICAL,C,5050,12.29,1,0.09,Y,8
37,60000,RENT,21.0,VENTURE,B,16000,10.99,0,0.27,N,15
26,29000,RENT,1.0,EDUCATION,C,1000,11.28,1,0.03,N,3
31,36000,RENT,2.0,MEDICAL,C,3500,12.53,0,0.1,Y,10
23,52000,RENT,0.0,EDUCATION,A,3000,5.99,0,0.06,N,2
28,40000,RENT,0.0,MEDICAL,C,5600,13.49,0,0.14,N,8
40,120000,MORTGAGE,2.0,VENTURE,B,17000,10.51,0,0.14,N,15
35,58000,MORTGAGE,8.0,MEDICAL,C,6000,12.99,0,0.1,Y,8
23,20400,RENT,0.0,PERSONAL,A,4800,7.49,0,0.24,N,2
46,85000,OTHER,0.0,HOMEIMPROVEMENT,A,1000,7.68,0,0.01,N,12
31,84000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,10000,5.99,0,0.12,N,8
34,54600,RENT,2.0,MEDICAL,A,2500,7.88,0,0.05,N,8
24,91000,MORTGAGE,5.0,MEDICAL,A,15000,7.88,0,0.16,N,4
33,15000,RENT,3.0,VENTURE,D,1800,17.54,0,0.12,Y,9
21,37200,RENT,1.0,DEBTCONSOLIDATION,B,7000,10.99,0,0.19,N,3
26,71000,RENT,0.0,MEDICAL,B,11600,10.99,0,0.16,N,2
22,30000,RENT,4.0,MEDICAL,B,6000,12.42,0,0.2,N,4
30,36000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,15000,11.83,0,0.42,N,10
23,64000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,8000,10.99,0,0.13,N,2
52,64500,RENT,0.0,PERSONAL,B,5000,11.26,0,0.08,N,25
33,30000,MORTGAGE,17.0,HOMEIMPROVEMENT,A,10000,5.79,0,0.33,N,6
35,80004,MORTGAGE,2.0,PERSONAL,B,3200,11.11,0,0.04,N,7
39,62000,OWN,3.0,PERSONAL,A,7200,7.49,0,0.12,N,12
22,68500,MORTGAGE,3.0,PERSONAL,B,12000,10.99,0,0.18,N,4
37,50000,RENT,0.0,VENTURE,B,5000,11.89,0,0.1,N,12
24,31944,RENT,8.0,MEDICAL,C,7200,13.79,0,0.23,N,2
25,65000,RENT,8.0,EDUCATION,C,6000,13.06,0,0.09,Y,3
28,39000,RENT,6.0,MEDICAL,D,3600,16.29,1,0.09,N,8
21,85000,RENT,1.0,VENTURE,C,12000,11.97,0,0.14,N,2
22,54000,RENT,4.0,MEDICAL,C,8075,13.06,0,0.15,N,3
26,34995,RENT,4.0,EDUCATION,A,10000,7.88,0,0.29,N,2
22,85000,RENT,1.0,EDUCATION,C,12000,12.84,0,0.14,Y,4
25,128500,MORTGAGE,1.0,HOMEIMPROVEMENT,C,15000,12.53,0,0.12,Y,3
25,42000,RENT,4.0,EDUCATION,A,1925,6.17,0,0.05,N,4
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4
34,80300,MORTGAGE,3.0,HOMEIMPROVEMENT,C,15000,12.73,0,0.19,Y,10
28,39000,RENT,0.0,EDUCATION,A,3000,7.9,0,0.08,N,7
32,43625,RENT,2.0,EDUCATION,B,1500,10.99,0,0.03,N,6
22,32000,RENT,0.0,DEBTCONSOLIDATION,C,14000,13.49,1,0.44,N,2
23,50952,RENT,0.0,EDUCATION,C,4000,11.54,0,0.08,Y,4
28,68666,RENT,7.0,DEBTCONSOLIDATION,B,21000,12.69,1,0.31,N,8
25,84000,RENT,5.0,DEBTCONSOLIDATION,B,9000,11.36,0,0.11,N,2
22,57600,MORTGAGE,1.0,PERSONAL,B,6000,10.0,0,0.1,N,2
34,30000,RENT,2.0,PERSONAL,A,4000,7.51,0,0.13,N,7
35,36500,RENT,0.0,MEDICAL,C,6000,13.61,0,0.16,N,6
32,110888,MORTGAGE,0.0,MEDICAL,B,10400,9.91,0,0.09,N,6
24,42000,RENT,8.0,HOMEIMPROVEMENT,B,4000,11.86,1,0.1,N,2
32,34000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,2800,9.32,0,0.08,N,7
38,52000,OWN,3.0,PERSONAL,D,8000,15.21,0,0.15,N,13
24,39996,RENT,1.0,MEDICAL,C,7000,13.11,0,0.18,N,3
25,125000,RENT,0.0,VENTURE,A,15000,7.49,0,0.12,N,3
26,48000,OWN,3.0,VENTURE,C,3600,13.49,0,0.07,N,4
24,77000,MORTGAGE,2.0,EDUCATION,B,3850,11.11,0,0.05,N,2
39,85000,MORTGAGE,1.0,PERSONAL,A,12000,9.32,0,0.14,N,13
23,65000,RENT,0.0,EDUCATION,A,6000,9.63,0,0.09,N,3
22,155000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,4000,11.14,0,0.03,N,3
34,92000,MORTGAGE,14.0,HOMEIMPROVEMENT,B,16000,11.11,0,0.17,N,7
25,60900,RENT,2.0,PERSONAL,A,3600,6.91,0,0.06,N,3
24,34000,RENT,1.0,HOMEIMPROVEMENT,B,10000,12.69,1,0.29,N,2
27,136000,MORTGAGE,3.0,PERSONAL,A,5000,6.17,0,0.04,N,6
26,105000,OWN,10.0,HOMEIMPROVEMENT,B,4800,11.71,0,0.05,N,4
25,42000,RENT,8.0,MEDICAL,A,7000,5.79,0,0.17,N,2
23,100000,RENT,1.0,EDUCATION,C,12000,13.57,0,0.12,Y,2
30,63000,MORTGAGE,14.0,DEBTCONSOLIDATION,A,3500,7.49,0,0.06,N,7
24,78000,OWN,8.0,EDUCATION,B,25000,12.18,0,0.32,N,4
31,78000,MORTGAGE,1.0,HOMEIMPROVEMENT,C,20000,14.26,1,0.26,N,9
21,13806,RENT,6.0,EDUCATION,C,4750,12.73,1,0.34,Y,2
24,75000,OWN,2.0,PERSONAL,B,8500,11.36,0,0.11,N,4
27,51600,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10800,6.91,0,0.21,N,8
27,93600,RENT,1.0,DEBTCONSOLIDATION,B,3000,10.36,0,0.03,N,9
26,65000,RENT,4.0,PERSONAL,A,8000,6.92,0,0.12,N,4
24,26000,RENT,5.0,MEDICAL,A,12000,7.9,1,0.46,N,2
22,33300,RENT,0.0,DEBTCONSOLIDATION,B,13250,10.99,1,0.4,N,4
22,28000,RENT,0.0,HOMEIMPROVEMENT,D,1000,16.29,1,0.04,Y,3
23,56000,MORTGAGE,7.0,PERSONAL,B,4500,11.83,0,0.08,N,4
25,20000,MORTGAGE,1.0,VENTURE,A,4000,5.79,0,0.2,N,4
22,60000,RENT,6.0,VENTURE,B,9975,11.48,0,0.17,N,4
41,63000,RENT,1.0,PERSONAL,A,1500,8.0,0,0.02,N,17
34,35316,RENT,5.0,MEDICAL,D,7200,14.84,1,0.2,N,10
35,75573,MORTGAGE,9.0,HOMEIMPROVEMENT,B,22000,9.88,0,0.29,N,8
26,65000,MORTGAGE,3.0,VENTURE,A,10000,7.29,0,0.15,N,3
39,37800,RENT,5.0,DEBTCONSOLIDATION,B,7000,11.49,0,0.19,N,11
32,90000,RENT,0.0,VENTURE,C,3025,13.48,0,0.03,Y,5
45,125004,RENT,7.0,EDUCATION,C,14000,12.61,0,0.11,N,12
26,201450,MORTGAGE,2.0,MEDICAL,E,8000,16.95,1,0.03,N,4
21,18456,RENT,2.0,MEDICAL,C,3500,13.35,1,0.19,Y,2
41,58650,MORTGAGE,15.0,MEDICAL,B,12000,11.14,1,0.17,N,16
46,50000,RENT,0.0,HOMEIMPROVEMENT,B,4350,10.99,0,0.09,N,16
26,30000,RENT,3.0,MEDICAL,C,4000,14.27,1,0.13,Y,2
38,96000,MORTGAGE,15.0,DEBTCONSOLIDATION,A,6000,6.03,0,0.06,N,16
30,31000,MORTGAGE,3.0,EDUCATION,A,13000,7.88,1,0.42,N,8
35,72000,MORTGAGE,2.0,EDUCATION,E,20000,16.7,1,0.28,Y,9
27,25200,RENT,0.0,MEDICAL,C,2550,14.27,0,0.1,N,9
24,40000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,4000,7.14,0,0.1,N,4
32,60040,RENT,1.0,VENTURE,B,5000,8.88,0,0.08,N,10
27,77000,MORTGAGE,0.0,EDUCATION,E,15000,17.74,1,0.19,Y,6
24,47000,RENT,8.0,VENTURE,A,7000,6.62,0,0.15,N,3
23,36000,OWN,1.0,VENTURE,A,1800,6.54,0,0.05,N,4
70,30000,RENT,0.0,DEBTCONSOLIDATION,D,1000,17.49,1,0.03,Y,21
32,66504,RENT,11.0,HOMEIMPROVEMENT,B,3500,11.99,0,0.05,N,8
26,145000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,14000,10.59,0,0.1,N,2
23,31200,RENT,0.0,PERSONAL,C,3200,13.49,0,0.1,Y,2
23,46000,MORTGAGE,5.0,PERSONAL,B,9500,12.69,1,0.21,N,4
24,25200,RENT,6.0,MEDICAL,A,6000,7.49,0,0.24,N,2
37,60000,RENT,4.0,VENTURE,A,7175,7.9,0,0.12,N,14
27,70000,OWN,0.0,PERSONAL,C,15000,12.84,0,0.21,N,10
25,138000,MORTGAGE,9.0,PERSONAL,A,8000,6.99,0,0.06,N,4
26,54000,RENT,0.0,MEDICAL,C,4000,13.47,1,0.07,N,2
30,18000,MORTGAGE,6.0,MEDICAL,B,2200,10.99,1,0.12,N,6
32,24000,OWN,5.0,EDUCATION,B,2850,11.83,0,0.12,N,7
